City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,fonte boa,-2.4959,-66.2662,22.18,94,99,0.85,BR,1739063114
329,floro,61.5996,5.0328,3.98,56,100,5.66,NO,1739063276
330,lazaro cardenas,17.9583,-102.2,25.58,74,0,2.37,MX,1739063277
331,palikir - national government center,6.9248,158.1611,30.47,85,100,5.66,FM,1739063278
332,lerwick,60.1545,-1.1494,5.36,77,91,6.82,GB,1739063273
333,yacimiento rio turbio,-51.5732,-72.3508,2.88,88,40,2.63,AR,1739063280
334,bubaque,11.2833,-15.8333,24.11,68,55,3.44,GW,1739063281
335,mandalay,21.9747,96.0836,21.69,49,0,1.22,MM,1739062991
336,sao joao da barra,-21.6403,-41.0511,24.56,88,100,2.59,BR,1739063171
337,la oroya,-11.5189,-75.8994,3.37,81,100,2.63,PE,1739063285
338,ruteng,-8.6136,120.4721,21.14,86,100,1.6,ID,1739063286
339,santa rosa de rio primero,-31.1523,-63.4019,31.61,31,84,3.95,AR,1739063287
340,al jawf,29.5,38.75,4.52,45,0,1.39,SA,1739063288
341,happy valley-goose bay,53.3168,-60.3315,-13.97,83,100,5.38,CA,1739063289
342,greymouth,-42.4667,171.2,21.91,66,65,2.78,NZ,1739063290
343,nambucca heads,-30.65,153.0,25.56,65,6,6.85,AU,1739063291
344,vorkuta,67.5,64.0,0.32,97,100,8.11,RU,1739063293
345,baglung,28.2719,83.5898,8.57,32,0,2.48,NP,1739063294
346,kapuskasing,49.4169,-82.4331,-16.56,98,100,1.45,CA,1739063289
347,nykobing falster,54.7691,11.8743,0.63,88,100,1.34,DK,1739063296
348,catio,11.2833,-15.25,21.89,81,24,0.77,GW,1739063297
349,quellon,-43.1167,-73.6167,11.05,80,100,2.82,CL,1739063224
350,madera,37.1666,-119.8343,12.91,71,1,3.3,US,1739063300
351,rio guayabal de yateras,20.3667,-75.0167,18.59,92,2,2.57,CU,1739063301
352,richards bay,-28.783,32.0377,23.81,96,16,1.95,ZA,1739063302
353,tionk essil,12.7856,-16.5217,23.95,37,46,2.24,SN,1739063303
354,laojunmiao,39.8333,97.7333,-9.28,47,1,2.89,CN,1739063304
355,berezovyy,51.6667,135.7,-9.33,67,100,0.4,RU,1739063305
356,jayapura,-2.5333,140.7,29.66,62,26,1.74,ID,1739063306
357,ecka,45.3186,20.4428,-0.45,57,100,7.92,RS,1739063307
358,nguigmi,14.2495,13.1092,22.05,19,1,6.18,NE,1739063309
